formula,Property Band gap values Clean,Property Reliability,Property Band gap method
Mg$_{2}$Pb,0.1,2,Thermal activation
Cd$_{3}$P$_{2}$,0.55,2,
Zr$_{3}$O,0.2,1,Thermal activation
Cu$_{2}$S,1.05,2,Absorption
AlAs,2.25,2,
InP,1.413,2,Absorption
GaTe,1.52,2,
HfSe$_{2}$,1.13,1,Absorption
PdSe,0.2,1,Thermal activation
RbCl,8.29,1,Absorption
CdP$_{2}$,1.92,1,
LiCl,9.33,1,Reflection
RbI,6.1,2,Absorption
KI,6.2,2,Absorption
PrF$_{3}$,5.3,2,Absorption
CdI$_{2}$,3.26,2,Reflection
PbSe,0.275,2,Absorption
Se,1.75,1,Absorption
PbTe,0.29,2,Reflection
BiSb$_{0.15}$,0.022,2,Magnetoreflection
Cu$_{2}$S,1.8,2,Thermal activation
ZrSe$_{2}$,2,1,Reflection
InP,1.45,2,Absorption
UO$_{2}$,2.18,1,Absorption
AgBr,2.69,2,Absorption
Sb$_{2}$S$_{3}$,1.92,2,Reflection
RbBr,7.7,2,Absorption
In$_{2}$Se$_{3}$,1.2,1,Absorption
As$_{2}$S$_{5}$,2.62,2,Absorption
Bi$_{2}$O$_{3}$,2.15,2,Thermal activation
AlSb,1.62,2,Reflection
S,4.2,2,Reflection
IrS$_{2}$,0.9,1,Absorption
As$_{2}$Se$_{3}$,1.77,1,Reflection
Ge,0.735,2,Absorption
CI$_{4}$,2.26,1,Absorption
CaO,7.5,2,Estimated
CdIn,0.6,1,Estimated
HgI$_{2}$,2.29,2,Reflection
PbO,2.73,2,Absorption
PbTe,0.31,2,Photoconduction
AsI$_{3}$,2.29,1,Estimated
PbS,0.41,2,Absorption
NdTe$_{2}$,0.48,2,
AlAs,2.2,2,Absorption
PbSe,0.14,2,
EuO,1.1,2,Thermal activation
AgBr,2.683,2,Absorption
In$_{2}$Te$_{3}$,0.85,2,Absorption
LiF,12,2,Absorption
Tl$_{2}$Te,0.5,1,Thermal activation
BaTe,3.4,1,Estimated
KBr,7.3,2,Absorption
NbO$_{2}$,0.25,1,Thermal activation
Cr$_{2}$O$_{3}$,1.62,2,Reflection
PdS,0.5,1,Thermal activation
InSe,1.293,1,Absorption
PdP$_{2}$,0.65,1,Thermal activation
CdO,1.2,1,Absorption
GaSe,2.2,2,
Bi$_{2}$O$_{3}$,2.07,2,Thermal activation
SiSe$_{2}$,1.74,2,Absorption
SnO$_{2}$,3.9,2,Reflection
GeAs,1.45,1,Absorption
La$_{2}$Se$_{3}$,1.7,2,Thermal activation
CuCl,3.306,1,Absorption
Cu$_{2}$Se,1.23,1,Reflection
Ga$_{2}$Se$_{3}$,1.86,2,Thermal activation
Mg$_{2}$Ge,1.804,2,
ZnS,3.82,2,
SeTe,0.561,2,Absorption
HgTe,0.175,1,Thermal activation
GaP,2.235,2,Absorption
GeO$_{2}$,6,2,Absorption
GeSe,1,2,Thermal activation
Sm$_{2}$S$_{3}$,3,2,Thermal activation
Bi$_{0.9}$Sb$_{0.1}$,0.012,2,Thermal activation
La$_{3}$Te$_{4}$,0.43,1,Thermal activation
GaP,2.78,2,Absorption
KF,9.61,2,Reflection
MgO,7.69,2,Reflection
ZnO,3.418,2,Reflection
SnS,1.3,2,Reflection
GaSb,0.812,2,Absorption
PbTe,0.32,2,Absorption
GaAs,1.43,2,Absorption
Ag$_{2}$Te,0.67,2,Absorption
CrSi$_{2}$,0.35,1,Thermal activation
SnO$_{2}$,3.947,2,Absorption
Mg$_{2}$Ge,0.74,2,Thermal activation
As$_{2}$S$_{3}$,2.8,2,Absorption
ThO$_{2}$,3.2,2,
EuSe,1.78,2,Absorption
AgI,2.82,2,Absorption
ErB$_{6}$,3.5,1,Absorption
MoO$_{3}$,2.96,1,Absorption
PbSe,0.26,2,Absorption
CaI$_{2}$,5.98,1,Absorption
P,1.6,1,Reflection
Bi,0.006,2,Thermal activation
HgSe,0.24,1,Magnetoreflection
Bi$_{2}$O$_{3}$,3.1,2,Absorption
Na$_{3}$Sb,1,2,Photoconduction
Er$_{2}$O$_{3}$,1.4,2,
MgSe,5.63,2,Absorption
BeO,5.2,2,Thermal activation
GaSb,0.813,2,Absorption
ZnS,3.68,2,Absorption
PrAs,1,1,Absorption
GaTe,1.74,2,Reflection
AlSb,1.62,1,Reflection
SiO$_{2}$,8,2,Absorption
Cr$_{2}$S$_{3}$,0.9,1,Thermal activation
In$_{2}$Te$_{3}$,1.12,1,Reflection
CdTe,1.594,2,Electroreflection
SiAs,1.48,2,Absorption
SrO,1.16,2,Thermal activation
AlP,2.51,2,Absorption
Cu$_{2}$Te,1.08,1,Absorption
AlN,5.74,1,Absorption
LaB$_{6}$,0.08,1,Reflection
Na$_{3}$Sb,1.1,2,Photoconduction
PbS,0.307,2,Magnetoabsorption
PtSe$_{2}$,0.1,1,
PrF$_{3}$,5.9,1,Absorption
BN,3.4,2,
ErN,3,2,Absorption
ZnTe,2.29,2,Reflection
K$_{3}$Sb,1.1,2,Photoconduction
Cu$_{2}$O,2.02,2,Reflection
PbBr$_{2}$,3.2,1,Absorption
TlSe,0.96,2,Absorption
MnSi,0.8,2,
Bi$_{2}$O$_{3}$,2.85,2,Photoconduction
NaCl,8.6,2,Reflection
As$_{2}$S$_{5}$,2.01,2,Absorption
PbN$_{6}$,3.02,1,Absorption
MgF$_{2}$,10.8,2,Absorption
Cu$_{2}$Se,1.23,2,Reflection
As$_{2}$S$_{3}$,2.48,2,Reflection
CoAs$_{3}$,0.25,1,Thermal activation
Al$_{2}$O$_{3}$,9.5,1,Absorption
FeSi$_{2}$,0.9,1,
CdI$_{2}$,6.25,2,Absorption
Nb$_{2}$O$_{5}$,3.48,1,Absorption
FeS$_{2}$,1.2,1,Thermal activation
HfS$_{3}$,2.8,1,Absorption
PbN$_{6}$,2.98,2,Photoconduction
Tl$_{2}$Te$_{3}$,0.69,2,Thermal activation
Zn$_{3}$As$_{2}$,0.51,2,Absorption
HgI$_{2}$,2.095,2,Photoconduction
I,1.6,2,Thermal activation
Sn,0.08,2,Photoconduction
ReSe$_{2}$,0.99,1,Thermal activation
YbSb,1,1,Absorption
Cu$_{2}$Se,1.29,2,Photoconduction
WO$_{3}$,2.9,2,
InSe,1.285,2,Absorption
TiS$_{2}$,1.24,1,Estimated
CaS,6,1,Absorption
Zn$_{3}$As$_{2}$,0.86,2,
GeO$_{2}$,5.56,1,Reflection
InP,1.41,2,
Mg$_{2}$Si,0.655,2,Photoconduction
SnO$_{2}$,3.7,2,Absorption
Nd$_{2}$Te$_{5}$,0.29,1,Thermal activation
ZnSb,0.61,2,Absorption
Gd$_{2}$O$_{3}$,1.36,1,Thermal activation
In$_{2}$S$_{3}$,2.28,2,
RbCl,8.3,2,Reflection
ZnS,3.69,2,Absorption
Se$_{3}$Te,1.87,1,Absorption
Cr$_{2}$Se$_{3}$,0.025,1,Thermal activation
GaS,2.58,2,Absorption
MnO,2.2,2,Thermal activation
Zn$_{3}$As$_{2}$,0.93,1,Absorption
MgTe,3.6,2,Absorption
Bi$_{2}$Se$_{3}$,0.35,2,Absorption
Ti$_{2}$O$_{3}$,0.02,2,
Na$_{3}$Sb,2.2,2,Absorption
TlSe,0.7,2,Absorption
PtAs$_{2}$,0.55,1,Thermal activation
Cs$_{3}$Sb,2.25,2,Absorption
As$_{2}$S$_{3}$,2.36,2,Photoconduction
SnI$_{2}$,2.4,1,Reflection
CdS,2.582,2,Absorption
PbBr$_{2}$,3.31,2,Reflection
NiS$_{2}$,0.5,1,Thermal activation
SrTe,3.77,2,Absorption
As$_{2}$Se$_{3}$,1.85,2,
PbS,0.307,2,Magnetoabsorption
Sb$_{2}$S$_{3}$,1.7,1,Absorption
NdF$_{3}$,6.15,1,Absorption
Si$_{3}$N$_{4}$,5,1,
GaAs,1.35,2,Absorption
KCl,8.9,2,Photoconduction
PbSe,0.176,2,Magnetoabsorption
SnO$_{2}$,3.71,2,Absorption
PtSb$_{2}$,0.11,2,Absorption
Bi$_{2}$Te$_{3}$,0.2,2,
Si$_{2}$Te$_{3}$,2,2,Absorption
Te,0.337,2,Absorption
AlAs,2.13,2,
WSe$_{2}$,1.35,2,
Ga$_{2}$S$_{3}$,3.59,1,
SmS,0.22,1,Thermal activation
CuBr,3.02,2,Photoconduction
GeS,1.59,2,Absorption
B,1.41,2,Photoconduction
As$_{2}$Se$_{3}$,2,2,
AgCl,3.226,2,Absorption
CaTe,4.07,1,Absorption
SnS,1.08,1,Absorption
BaO,3.8,2,Absorption
OsS$_{2}$,2,1,Reflection
CdSb,0.45,1,Absorption
AlN,5.9,2,Absorption
NdB$_{6}$,4.9,1,Reflection
Mg$_{2}$Si,0.66,2,Absorption
MoTe$_{2}$,1.02,2,Absorption
ZrO$_{2}$,4.99,1,Reflection
BaS,3.9,2,Absorption
MnO,3.7,1,Absorption
GaSe,2.1,2,Reflection
PdS$_{2}$,0.75,1,Thermal activation
GeSe,1.17,2,Photoconduction
Hg$_{2}$Cl$_{2}$,3.8,2,Reflection
NiS,0.12,1,Thermal activation
Tl$_{2}$Te$_{3}$,0.48,2,Thermal activation
SnO$_{2}$,2.7,1,Absorption
Na$_{3}$Sb,1.17,2,Thermal activation
ZnSb,1.11,2,Absorption
GaAs,1.42,1,Reflection
Y$_{2}$O$_{3}$,5.6,1,Absorption
Cu$_{2}$Te,1.04,2,Reflection
SbSi,1.9,2,
SnO$_{2}$,3.93,2,Reflection
SnO$_{2}$,2.55,2,Absorption
Cu$_{2}$O,2.17,2,Reflection
BP,2,1,Absorption
CdSe,1.865,2,Absorption
Sb,0.1,1,Reflection
WSe$_{2}$,1.45,2,Absorption
SnO$_{2}$,2.45,2,Absorption
Mg$_{2}$Ge,0.57,2,
V$_{2}$O$_{5}$,2.34,1,Absorption
I,1.3,1,Absorption
RbI,6.36,2,Photoconduction
Cr$_{2}$O$_{3}$,1.68,1,Thermal activation
Ag$_{2}$O,1.5,2,Thermal activation
LiI,6,1,Reflection
YbAs,1.02,1,Absorption
RhS$_{3}$,1.5,1,Absorption
PbO,2.84,1,Absorption
