formula,Property Bulk modulus,Property Bulk modulus units
Sr$_{3}$(AlGe)$_{2}$,41,GPa
ZnAgF$_{3}$,81,GPa
Li$_{3}$AlN$_{2}$,104,GPa
LiAl$_{3}$,64,GPa
MgCuSn,63,GPa
ScF$_{3}$,89,GPa
RbTiS$_{2}$,52,GPa
VNi$_{3}$,213,GPa
Y$_{2}$C$_{3}$,120,GPa
Zr$_{3}$Hg,104,GPa
SrC$_{2}$,47,GPa
CsNaICl,12,GPa
LiSn,37,GPa
SnS$_{2}$,27,GPa
TmAgTe$_{2}$,49,GPa
VC,307,GPa
BaAl$_{9}$Fe$_{2}$,79,GPa
FeNiPt$_{2}$,210,GPa
Rh$_{2}$O$_{3}$,233,GPa
CdPt,137,GPa
Y$_{6}$FeSb$_{2}$,59,GPa
ZrS$_{2}$,31,GPa
IrSe$_{2}$,106,GPa
SrZn,24,GPa
Hf(CuP)$_{2}$,133,GPa
MgPd$_{2}$,115,GPa
Al$_{4}$C$_{3}$,160,GPa
Y$_{2}$MgSe$_{4}$,52,GPa
Co$_{3}$Mo,260,GPa
VB$_{2}$,289,GPa
Al$_{9}$Co$_{2}$,107,GPa
Al$_{3}$Pt$_{5}$,199,GPa
SmS,91,GPa
Co$_{3}$W,272,GPa
ZnCo$_{3}$C,217,GPa
ZnCu$_{2}$SnS$_{4}$,67,GPa
AlRe$_{2}$,256,GPa
NiSe,104,GPa
Fe$_{3}$PdN,187,GPa
Hf$_{5}$Si$_{3}$,142,GPa
Pt,244,GPa
YZnGe,79,GPa
Ca$_{5}$Sb$_{3}$,38,GPa
Yb(AlSi)$_{2}$,65,GPa
Mg(As$_{2}$Rh$_{3}$)$_{2}$,173,GPa
Pr$_{2}$S$_{3}$,73,GPa
LiYSi,63,GPa
SrCuF$_{4}$,67,GPa
Sc$_{2}$AlC,86,GPa
GaN,97,GPa
NaGe$_{2}$N$_{3}$,136,GPa
Ca$_{3}$Au$_{4}$,51,GPa
K$_{2}$CO$_{3}$,34,GPa
NbRu,234,GPa
MnBe$_{2}$,163,GPa
Cu$_{2}$SnTe$_{3}$,46,GPa
Li$_{2}$CuP,64,GPa
Mo$_{2}$C,294,GPa
RbF,24,GPa
CaSn$_{3}$,43,GPa
HfTc,192,GPa
ScSiCu,112,GPa
CaC$_{2}$,55,GPa
TaC,324,GPa
ScBIr$_{3}$,238,GPa
CaSiNi$_{2}$,87,GPa
TiCoSi,186,GPa
Al$_{3}$Pt$_{2}$,154,GPa
MgIr$_{2}$,197,GPa
ScAgO$_{2}$,127,GPa
AlCo$_{3}$C,234,GPa
VTe,63,GPa
MgSe,59,GPa
SrCN$_{2}$,60,GPa
Zr$_{2}$Fe,125,GPa
Ti$_{2}$GaN,159,GPa
Zr$_{6}$Al$_{2}$Ni,105,GPa
Sb$_{3}$Ir,99,GPa
Nb$_{3}$Ir,223,GPa
GaCo,176,GPa
ZnFe$_{3}$C,213,GPa
Ti$_{3}$In$_{3}$Rh$_{2}$,122,GPa
MoS$_{2}$,50,GPa
VNi$_{2}$,210,GPa
Sc$_{3}$SnC,102,GPa
V,179,GPa
Ti$_{2}$InN,138,GPa
VZn$_{3}$,113,GPa
KZnAs,34,GPa
AlNi,162,GPa
YAl$_{2}$Co,93,GPa
VOs,284,GPa
Ta$_{2}$Be,187,GPa
BW$_{2}$,330,GPa
FeN,195,GPa
ErAs,79,GPa
Be$_{2}$Nb$_{3}$,165,GPa
NbPd$_{3}$,200,GPa
Be$_{2}$Re,242,GPa
Y(AlSi)$_{2}$,77,GPa
HfSi$_{2}$,134,GPa
ScAgSe$_{2}$,62,GPa
Mg$_{2}$SiCu$_{3}$,98,GPa
TiGePd,149,GPa
Ba(ZnSn)$_{2}$,44,GPa
Mn$_{2}$AlCo,159,GPa
ZrVGe,146,GPa
VPd$_{2}$,191,GPa
BaTiO$_{3}$,124,GPa
YAu,86,GPa
LiSbAu,55,GPa
YAl,65,GPa
Co$_{2}$B$_{4}$Mo,303,GPa
Ba(BeN)$_{2}$,106,GPa
YFe$_{5}$,108,GPa
VRh,233,GPa
BaAl$_{9}$Ni$_{2}$,79,GPa
MgS,74,GPa
P$_{2}$Ir,194,GPa
Y$_{3}$SnC,82,GPa
Mg$_{2}$Au,62,GPa
Al(CoSi)$_{2}$,177,GPa
SrPt$_{2}$,118,GPa
SrMgGe,41,GPa
TiAlAu,131,GPa
Li,14,GPa
ZrZnN$_{2}$,177,GPa
CrNi$_{3}$,193,GPa
SrMgF$_{4}$,59,GPa
TiZnO$_{3}$,174,GPa
LiMgAs,47,GPa
Ne,2,GPa
MgSbPd,81,GPa
Mn$_{2}$AlV,185,GPa
LiBF$_{4}$,11,GPa
Ti$_{2}$GaC,139,GPa
Hf$_{3}$ZnN,151,GPa
Li$_{3}$Pd,37,GPa
ZrAs,118,GPa
CaSn$_{2}$Ir,78,GPa
RbPt$_{2}$Se$_{3}$,29,GPa
Nb$_{2}$ZnO$_{6}$,143,GPa
TaSb$_{2}$,103,GPa
MnNi$_{3}$,174,GPa
Nb$_{3}$Rh,204,GPa
ZrZnNi$_{4}$,167,GPa
MgF$_{2}$,95,GPa
GaAs,63,GPa
HfSiRh,190,GPa
HgS,50,GPa
GePd,123,GPa
BaLiAs,34,GPa
TiCr$_{2}$,199,GPa
CdCN$_{2}$,93,GPa
ZrP$_{2}$,127,GPa
YRh$_{5}$,178,GPa
CrCoGe,178,GPa
Al$_{6}$Ru,112,GPa
P$_{2}$W,192,GPa
Au,135,GPa
MnNi,149,GPa
BaCuSb,45,GPa
P$_{3}$Ir,170,GPa
Ga,50,GPa
Ir,346,GPa
TiAlAu$_{2}$,141,GPa
Ag,88,GPa
FeSi$_{2}$,181,GPa
PdF$_{2}$,100,GPa
Al$_{3}$Pd$_{2}$,129,GPa
ZrCo$_{3}$B$_{2}$,244,GPa
KSmS$_{2}$,41,GPa
TiZnN$_{2}$,155,GPa
TlCuSe$_{2}$,47,GPa
YNi$_{2}$,121,GPa
Sc$_{6}$NiTe$_{2}$,73,GPa
Cu$_{2}$Se,86,GPa
Zr$_{2}$Al,100,GPa
Zr$_{3}$O,134,GPa
SmCo$_{5}$,146,GPa
BaGaSiH,49,GPa
Sc$_{6}$FeSb$_{2}$,72,GPa
RbO$_{2}$,21,GPa
Ce(P$_{3}$Ru)$_{4}$,167,GPa
Zn$_{3}$Ru,138,GPa
MgHg$_{2}$,42,GPa
Zr$_{2}$SN$_{2}$,160,GPa
NdMg,38,GPa
Sc$_{2}$TlC,80,GPa
YMg$_{2}$,43,GPa
