x	y_obs	y_bkg
30.62	1157	1139.338
30.637	1131	1139.339
30.654	1181	1139.34
30.671	1145	1139.342
30.688	1158	1139.344
30.705	1196	1139.347
30.722	1198	1139.35
30.739	1167	1139.354
30.756	1164	1139.358
30.773	1126	1139.363
30.79	1137	1139.368
30.807	1186	1139.374
30.824	1139	1139.381
30.841	1156	1139.388
30.858	1130	1139.395
30.875	1136	1139.404
30.892	1115	1139.413
30.909	1136	1139.422
30.926	1124	1139.433
30.943	1117	1139.444
30.96	1174	1139.456
30.977	1126	1139.468
30.994	1137	1139.482
31.011	1118	1139.496
31.028	1185	1139.511
31.045	1186	1139.527
31.062	1165	1139.544
31.079	1153	1139.562
31.096	1198	1139.581
31.113	1177	1139.601
31.13	1133	1139.622
31.147	1123	1139.644
31.164	1111	1139.668
31.181	1123	1139.692
31.198	1133	1139.718
31.215	1134	1139.745
31.232	1140	1139.773
31.249	1181	1139.803
31.266	1200	1139.834
31.283	1146	1139.867
31.3	1096	1139.902
31.317	1137	1139.938
31.334	1175	1139.975
31.351	1164	1140.015
31.368	1162	1140.056
31.385	1182	1140.1
31.402	1176	1140.145
31.419	1152	1140.193
31.436	1150	1140.243
31.453	1165	1140.295
31.47	1165	1140.349
31.487	1134	1140.407
31.504	1145	1140.466
31.521	1125	1140.529
31.538	1156	1140.595
31.555	1140	1140.663
31.572	1138	1140.735
31.589	1220	1140.811
31.606	1202	1140.89
31.623	1159	1140.972
31.64	1170	1141.059
31.657	1187	1141.15
31.674	1126	1141.246
31.691	1163	1141.346
31.708	1180	1141.45
31.725	1190	1141.561
31.742	1211	1141.676
31.759	1117	1141.798
31.776	1147	1141.925
31.793	1100	1142.06
31.81	1147	1142.201
31.827	1187	1142.349
31.844	1142	1142.506
31.861	1170	1142.67
31.878	1177	1142.844
31.895	1126	1143.027
31.912	1128	1143.22
31.929	1185	1143.424
31.946	1199	1143.639
31.963	1165	1143.867
31.98	1167	1144.108
31.997	1117	1144.363
32.014	1159	1144.634
32.031	1128	1144.921
32.048	1168	1145.225
32.065	1141	1145.549
32.082	1170	1145.893
32.099	1183	1146.26
32.116	1183	1146.65
32.133	1188	1147.067
32.15	1154	1147.513
32.167	1166	1147.99
32.184	1167	1148.501
32.201	1163	1149.049
32.218	1130	1149.637
32.235	1142	1150.27
32.252	1166	1150.953
32.269	1137	1151.69
32.286	1139	1152.487
32.303	1107	1153.35
32.32	1103	1154.287
32.337	1135	1155.307
32.354	1159	1156.419
