x	y_obs
32.796	1423
32.813	1472
32.83	1645
32.847	1703
32.864	1911
32.881	2053
32.898	2226
32.915	2228
32.932	2331
32.949	2171
32.966	2000
32.983	1873
33	1702
33.017	1591
33.034	1494
33.051	1402
33.068	1373
33.085	1399
33.102	1310
33.119	1248
33.136	1269
33.153	1262
33.17	1211
33.187	1216
33.204	1220
33.221	1221
33.238	1208
33.255	1172
33.272	1164
33.289	1188
33.306	1212
33.323	1204
33.34	1215
33.357	1160
33.374	1157
33.391	1203
33.408	1248
33.425	1158
33.442	1169
33.459	1203
33.476	1194
33.493	1207
33.51	1172
33.527	1141
33.544	1148
33.561	1242
33.578	1184
33.595	1213
33.612	1206
33.629	1141
33.646	1164
33.663	1190
33.68	1158
33.697	1112
33.714	1249
33.731	1144
33.748	1202
33.765	1138
33.782	1163
33.799	1244
33.816	1218
33.833	1143
33.85	1139
33.867	1192
33.884	1113
33.901	1123
33.918	1101
33.935	1125
33.952	1187
33.969	1169
33.986	1168
34.003	1160
34.02	1154
34.037	1156
34.054	1135
34.071	1146
34.088	1154
34.105	1157
34.122	1160
34.139	1149
34.156	1175
34.173	1152
34.19	1130
34.207	1148
34.224	1189
34.241	1178
34.258	1147
34.275	1140
34.292	1169
34.309	1209
34.326	1177
34.343	1157
34.36	1147
34.377	1157
34.394	1178
34.411	1140
34.428	1166
34.445	1161
34.462	1200
34.479	1197
34.496	1176
34.513	1114
34.53	1178
34.547	1190
34.564	1183
34.581	1242
34.598	1218
34.615	1153
34.632	1162
34.649	1138
34.666	1172
34.683	1162
34.7	1114
34.717	1117
34.734	1158
34.751	1149
34.768	1157
34.785	1141
34.802	1164
34.819	1158
34.836	1148
34.853	1096
34.87	1159
34.887	1167
34.904	1060
34.921	1147
34.938	1149
34.955	1131
34.972	1138
34.989	1152
35.006	1157
35.023	1132
35.04	1135
35.057	1158
35.074	1207
35.091	1186
35.108	1127
35.125	1142
35.142	1172
35.159	1142
35.176	1136
35.193	1167
35.21	1190
35.227	1161
35.244	1168
35.261	1155
35.278	1150
35.295	1167
35.312	1184
35.329	1135
35.346	1137
35.363	1115
35.38	1098
35.397	1152
35.414	1140
35.431	1143
35.448	1092
35.465	1145
35.482	1186
35.499	1170
35.516	1167
35.533	1145
35.55	1176
35.567	1174
35.584	1162
35.601	1160
35.618	1193
35.635	1181
35.652	1079
35.669	1190
35.686	1170
35.703	1203
35.72	1177
35.737	1181
35.754	1203
35.771	1121
35.788	1106
35.805	1098
35.822	1069
35.839	1201
35.856	1199
35.873	1131
35.89	1177
35.907	1191
35.924	1193
35.941	1146
35.958	1139
35.975	1219
35.992	1186
36.009	1190
36.026	1162
36.043	1184
36.06	1177
36.077	1208
36.094	1243
36.111	1205
36.128	1213
36.145	1200
36.162	1182
36.179	1213
36.196	1279
36.213	1302
36.23	1303
36.247	1377
36.264	1443
36.281	1531
36.298	1567
36.315	1691
36.332	1844
36.349	1947
36.366	2217
36.383	2497
36.4	2864
36.417	3234
36.434	3534
36.451	3856
36.468	3738
36.485	3664
36.502	3469
36.519	3116
36.536	2991
36.553	2744
36.57	2325
36.587	2189
36.604	1982
36.621	1700
36.638	1623
36.655	1466
36.672	1443
36.689	1361
36.706	1280
36.723	1272
36.74	1273
36.757	1178
36.774	1187
36.791	1183
36.808	1209
36.825	1221
36.842	1182
36.859	1206
36.876	1165
36.893	1149
36.91	1144
36.927	1170
36.944	1142
36.961	1180
36.978	1094
36.995	1163
37.012	1175
37.029	1129
37.046	1154
37.063	1182
37.08	1159
37.097	1145
37.114	1134
37.131	1125
37.148	1122
37.165	1170
37.182	1169
37.199	1121
37.216	1081
37.233	1072
37.25	1138
37.267	1153
37.284	1146
37.301	1146
37.318	1098
37.335	1159
37.352	1118
37.369	1117
37.386	1160
37.403	1148
37.42	1083
37.437	1157
37.454	1185
37.471	1154
37.488	1157
37.505	1132
37.522	1136
37.539	1199
37.556	1149
37.573	1083
37.59	1145
37.607	1171
37.624	1113
37.641	1067
37.658	1083
37.675	1157
37.692	1100
37.709	1155
37.726	1082
37.743	1181
37.76	1150
37.777	1085
37.794	1116
37.811	1131
37.828	1101
37.845	1138
37.862	1146
37.879	1184
37.896	1195
37.913	1140
37.93	1124
37.947	1084
37.964	1099
37.981	1140
37.998	1121
38.015	1184
38.032	1164
38.049	1139
38.066	1190
38.083	1158
38.1	1139
38.117	1193
38.134	1188
38.151	1215
38.168	1204
38.185	1210
38.202	1243
38.219	1270
38.236	1275
38.253	1297
38.27	1353
38.287	1372
38.304	1409
38.321	1550
38.338	1692
38.355	1847
38.372	2017
38.389	2271
38.406	2422
38.423	2617
38.44	2713
38.457	2572
38.474	2476
38.491	2216
38.508	1978
38.525	1890
38.542	1731
38.559	1666
38.576	1566
38.593	1602
38.61	1594
38.627	1687
38.644	1781
38.661	1895
38.678	1969
38.695	2155
38.712	2484
38.729	2775
38.746	2980
38.763	3303
38.78	3660
38.797	3957
38.814	4037
38.831	3959
38.848	3787
38.865	3486
38.882	3128
38.899	2788
38.916	2509
38.933	2303
38.95	2116
38.967	1931
38.984	1774
39.001	1658
39.018	1583
39.035	1545
39.052	1493
39.069	1454
39.086	1387
39.103	1334
39.12	1329
39.137	1302
39.154	1306
39.171	1267
39.188	1233
39.205	1258
39.222	1275
39.239	1285
39.256	1307
39.273	1291
39.29	1288
39.307	1293
39.324	1226
39.341	1217
39.358	1252
39.375	1222
39.392	1258
39.409	1247
39.426	1221
39.443	1207
39.46	1187
39.477	1243
39.494	1234
39.511	1212
39.528	1239
39.545	1158
39.562	1257
39.579	1241
39.596	1224
39.613	1179
39.63	1178
39.647	1220
39.664	1208
39.681	1175
39.698	1186
39.715	1200
39.732	1227
39.749	1197
39.766	1205
39.783	1162
39.8	1211
39.817	1227
39.834	1214
39.851	1186
39.868	1227
39.885	1235
39.902	1239
39.919	1227
39.936	1170
39.953	1123
39.97	1140
39.987	1197
40.004	1196
40.021	1199
40.038	1189
40.055	1157
40.072	1215
40.089	1200
40.106	1148
40.123	1147
40.14	1185
40.157	1169
40.174	1163
40.191	1187
40.208	1197
40.225	1195
40.242	1187
40.259	1168
40.276	1118
40.293	1091
